make_name,name,model_code
Toyota,Camry,XV70
Toyota,Corolla,E210
Toyota,RAV4,XA50
Toyota,Prius,XW60
Honda,Civic,FC1
Honda,Accord,CV3
Honda,CR-V,RW1
BMW,3 Series,G20
BMW,5 Series,G30
BMW,X3,G01
BMW,X5,G05
Mercedes-Benz,C-Class,W206
Mercedes-Benz,E-Class,W213
Mercedes-Benz,GLC,X253
Audi,A4,B9
Audi,A6,C8
Audi,Q5,FY
Nissan,Altima,L34
Nissan,Sentra,B18
Hyundai,Elantra,CN7
Hyundai,Tucson,NX4
